Constituency,Const. No.,Leading Candidate,Trailing Candidate,Margin,Status,State ID
BALAGHAT,15,BHARTI PARDHI,SAMRAT ASHOK SINGH SARASWAR,174512,Result Declared,S12
BETUL,29,DURGADAS (D. D.) UIKEY,RAMU TEKAM,379761,Result Declared,S12
BHIND,2,SANDHYA RAY,PHOOL SINGH BARAIYA,64840,Result Declared,S12
BHOPAL,19,ALOK SHARMA,ADVOCATE ARUN SHRIVASTAVA,501499,Result Declared,S12
CHHINDWARA,16,BUNTY VIVEK SAHU,NAKUL KAMALNATH,113618,Result Declared,S12
DAMOH,7,RAHUL SINGH LODHI,TARBAR SINGH LODHI (BANTU BHAIYA),406426,Result Declared,S12
DEWAS,21,MAHENDRA SINGH SOLANKY,RAJENDRA RADHAKISHAN MALVIYA,425225,Result Declared,S12
DHAR,25,SAVITRI THAKUR,RADHESHYAM MUVEL,218665,Result Declared,S12
GUNA,4,JYOTIRADITYA M. SCINDIA,YADVENDRA RAO DESHRAJ SINGH,540929,Result Declared,S12
GWALIOR,3,BHARAT SINGH KUSHWAH,PRAVEEN PATHAK,70210,Result Declared,S12
HOSHANGABAD,17,DARSHAN SINGH CHOUDHARY,SANJAY SHARMA SANJU BHAIYA,431696,Result Declared,S12
INDORE,26,SHANKAR LALWANI,SANJAY S/O LAKSHMAN SOLANKI,1175092,Result Declared,S12
JABALPUR,13,ASHISH DUBEY,DINESH YADAV,486674,Result Declared,S12
KHAJURAHO,8,VISHNU DATT SHARMA (V.D.SHARMA),KAMLESH KUMAR,541229,Result Declared,S12
KHANDWA,28,GYANESHWAR PATIL,NARENDRA PATEL,269971,Result Declared,S12
KHARGONE,27,GAJENDRA SINGH PATEL,PORLAL BATHA KHARTE,135018,Result Declared,S12
MANDLA,14,FAGGAN SINGH KULASTE,OMKAR SINGH MARKAM,103846,Result Declared,S12
MANDSOUR,23,SUDHEER GUPTA,DILIP SINGH GURJAR,500655,Result Declared,S12
MORENA,1,SHIVMANGAL SINGH TOMAR,NEETU SATYAPAL SINGH SIKARWAR,52530,Result Declared,S12
RAJGARH,20,RODMAL NAGAR,DIGVIJAYA SINGH,146089,Result Declared,S12
Alappuzha,15,K. C VENUGOPAL,A. M ARIFF,63513,Result Declared,S11
Alathur,9,K.RADHAKRISHNAN,RAMYA HARIDAS,20111,Result Declared,S11
Attingal,19,ADV ADOOR PRAKASH,V JOY,684,Result Declared,S11
Chalakudy,11,BENNY BEHANAN,PROF C RAVEENDRANATH,63754,Result Declared,S11
Ernakulam,12,HIBI EDEN,K. J. SHINE TEACHER,250385,Result Declared,S11
Idukki,13,ADV. DEAN KURIAKOSE,ADV. JOICE GEORGE,133727,Result Declared,S11
Kannur,2,K. SUDHAKARAN,M.V. JAYARAJAN,108982,Result Declared,S11
Kasaragod,1,RAJMOHAN UNNITHAN,M.V BALAKRISHNAN MASTER,100649,Result Declared,S11
Kollam,18,N K PREMACHANDRAN,M MUKESH,150302,Result Declared,S11
Kottayam,14,ADV K FRANCIS GEORGE,THOMAS CHAZHIKADAN,87266,Result Declared,S11
Kozhikode,5,M. K. RAGHAVAN,ELAMARAM KAREEM,146176,Result Declared,S11
Malappuram,6,E.T.  MOHAMMED BASHEER,V. VASEEF,300118,Result Declared,S11
Mavelikkara,16,KODIKUNNIL SURESH,ADV ARUN KUMAR C A,10868,Result Declared,S11
Palakkad,8,V K SREEKANDAN,A VIJAYARAGHAVAN,75283,Result Declared,S11
Pathanamthitta,17,ANTO ANTONY,DR.T.M.THOMAS ISSAC,66119,Result Declared,S11
Ponnani,7,DR. M.P ABDUSSAMAD SAMADANI,K.S HAMZA,235760,Result Declared,S11
Thiruvananthapuram,20,SHASHI THAROOR,RAJEEV CHANDRASEKHAR,16077,Result Declared,S11
Thrissur,10,SURESH GOPI,ADV V S SUNILKUMAR,74686,Result Declared,S11
Vadakara,3,SHAFI PARAMBIL,K K SHAILAJA TEACHER,114506,Result Declared,S11
Wayanad,4,RAHUL GANDHI,ANNIE RAJA,364422,Result Declared,S11
Chatra,4,KALI CHARAN SINGH,KRISHNA NAND TRIPATHI,220959,Result Declared,S27
Dhanbad,7,DULU MAHATO,ANUPAMA SINGH,331583,Result Declared,S27
Dumka,2,NALIN SOREN,SITA MURMU,22527,Result Declared,S27
Giridih,6,CHANDRA PRAKASH CHOUDHARY,MATHURA PRASAD MAHATO,80880,Result Declared,S27
Godda,3,NISHIKANT DUBEY,PRADEEP YADAV,101813,Result Declared,S27
Hazaribagh,14,MANISH JAISWAL,JAI PRAKASH BHAI PATEL,276686,Result Declared,S27
Jamshedpur,9,BIDYUT BARAN MAHATO,SAMIR KUMAR MOHANTY,259782,Result Declared,S27
Khunti,11,KALI CHARAN MUNDA,ARJUN MUNDA,149675,Result Declared,S27
Kodarma,5,ANNPURNA DEVI,VINOD KUMAR SINGH,377014,Result Declared,S27
Lohardaga,12,SUKHDEO BHAGAT,SAMIR ORAON,139138,Result Declared,S27
Palamau,13,VISHNU DAYAL RAM,MAMTA BHUIYAN,288807,Result Declared,S27
Rajmahal,1,VIJAY KUMAR HANSDAK,TALA MARANDI,178264,Result Declared,S27
Ranchi,8,SANJAY SETH,YASHASWINI SAHAY,120512,Result Declared,S27
Singhbhum,10,JOBA MAJHI,GEETA KORA,168402,Result Declared,S27
Bagalkot,3,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,SAMYUKTA SHIVANAND PATIL,68399,Result Declared,S10
Bangalore central,25,P C MOHAN,MANSOOR ALI KHAN,32707,Result Declared,S10
Bangalore North,24,SHOBHA KARANDLAJE,PROFESSOR M.V RAJEEV GOWDA,259476,Result Declared,S10
Bangalore Rural,23,DR C N MANJUNATH,D K SURESH,269647,Result Declared,S10
Bangalore South,26,TEJASVI SURYA,SOWMYA REDDY,277083,Result Declared,S10
Belgaum,2,JAGADISH SHETTAR,MRINAL R HEBBALKAR,178437,Result Declared,S10
Bellary,9,E. TUKARAM,B. SREERAMULU,98992,Result Declared,S10
Bidar,7,SAGAR ESHWAR KHANDRE,BHAGWANTH KHUBA,128875,Result Declared,S10
Bijapur,4,RAMESH JIGAJINAGI,RAJU ALAGUR.,77229,Result Declared,S10
Chamarajanagar,22,SUNIL BOSE,BALARAJ.S,188706,Result Declared,S10
Chikkballapur,27,DR.K.SUDHAKAR,M.S. RAKSHA RAMAIAH,163460,Result Declared,S10
Chikkodi,1,PRIYANKA SATISH JARKIHOLI,ANNASAHEB SHANKAR JOLLE,90834,Result Declared,S10
Chitradurga,18,GOVIND MAKTHAPPA KARJOL,B.N.CHANDRAPPA,48121,Result Declared,S10
Dakshina Kannada,17,CAPTAIN BRIJESH CHOWTA,PADMARAJ.R.POOJARY,149208,Result Declared,S10
Davanagere,13,DR. PRABHA MALLIKARJUN,GAYITHRI SIDDESHWARA,26094,Result Declared,S10
Dharwad,11,PRALHAD JOSHI,VINOD ASOOTI,97324,Result Declared,S10
Gulbarga,5,RADHAKRISHNA,DR. UMESH G JADHAV,27205,Result Declared,S10
Hassan,16,SHREYAS. M. PATEL,PRAJWAL REVANNA,42649,Result Declared,S10
Haveri,10,BASAVARAJ BOMMAI,ANANDSWAMY GADDADEVARMATH,43513,Result Declared,S10
Kolar,28,M. MALLESH BABU,K V GOWTHAM,71388,Result Declared,S10
Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),HIMMATSINH PRAHLADSINH PATEL,461755,Result Declared,S06
Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),BHARAT YOGENDRA MAKWANA,286437,Result Declared,S06
Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,JENNY THUMMAR,321068,Result Declared,S06
Anand,16,MITESH PATEL (BAKABHAI),AMIT CHAVDA,89939,Result Declared,S06
Banaskantha,2,GENIBEN NAGAJI THAKOR,DR. REKHABEN HITESHBHAI CHAUDHARI,30406,Result Declared,S06
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,CHAUDHARY SIDDHARTH AMARSINH,230253,Result Declared,S06
Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,CHAITARBHAI DAMJIBHAI VASAVA,85696,Result Declared,S06
Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),UMESHBHAI NARANBHAI MAKWANA,455289,Result Declared,S06
Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,SUKHRAMBHAI HARIYABHAI RATHWA,398777,Result Declared,S06
Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,DR. PRABHABEN KISHORSINH TAVIYAD,333677,Result Declared,S06
Gandhinagar,6,AMIT SHAH,SONAL RAMANBHAI PATEL,744716,Result Declared,S06
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,ADVOCATE J. P. MARAVIYA,238008,Result Declared,S06
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,JOTVA HIRABHAI ARJANBHAI,135494,Result Declared,S06
Kachchh,1,CHAVDA VINOD LAKHAMSHI,NITESH PARBATBHAI LALAN (MATANG),268782,Result Declared,S06
Kheda,17,DEVUSINH CHAUHAN,KALUSINH DABHI,357758,Result Declared,S06
Mahesana,4,HARIBHAI PATEL,RAMJI THAKOR,328046,Result Declared,S06
Navsari,25,C R PATIL,NAISHADHBHAI BHUPATBHAI  DESAI,773551,Result Declared,S06
Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,GULABSINH SOMSINH CHAUHAN,509342,Result Declared,S06
Patan,3,DABHI  BHARATSINHJI  SHANKARJI,CHANDANJI TALAJI THAKOR,31876,Result Declared,S06
Porbandar,11,DR. MANSUKH MANDAVIYA,LALIT VASOYA,383360,Result Declared,S06
Rajkot,10,PARSHOTTAMBHAI RUPALA,DHANANI PARESH,484260,Result Declared,S06
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,CHAUDHARI TUSHAR AMARSINH,155682,Result Declared,S06
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,,-,Uncontested,S06
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,RUTVIKBHAI LAVJIBHAI MAKWANA,261617,Result Declared,S06
Vadodara,20,DR. HEMANG JOSHI,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),582126,Result Declared,S06
Valsad,26,DHAVAL LAXMANBHAI PATEL,ANANTKUMAR HASMUKHBHAI PATEL,210704,Result Declared,S06
PALI,15,P. P. CHAUDHARY,SANGEETA BENIWAL,245351,Result Declared,S20
RAJSAMAND,22,MAHIMA KUMARI MEWAR,DR. DAMODAR GURJAR,392223,Result Declared,S20
SIKAR,5,AMRARAM,SUMEDHANAND SARASWATI,72896,Result Declared,S20
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEENA,SUKHBIR SINGH JAUNAPURIA,64949,Result Declared,S20
UDAIPUR,19,MANNA LAL RAWAT,TARACHAND MEENA,261608,Result Declared,S20
Madha,43,MOHITE-PATIL DHAIRYASHEEL RAJSINH,RANJEETSINGH HINDURAO NAIK NIMBALKAR,120837,Result Declared,S13
Maval,33,SHRIRANG APPA CHANDU BARNE,SANJOG BHIKU WAGHERE PATIL,96615,Result Declared,S13
Mumbai North,26,PIYUSH GOYAL,BHUSHAN PATIL,357608,Result Declared,S13
Mumbai North Central,29,GAIKWAD VARSHA EKNATH,ADV UJWAL NIKAM,16514,Result Declared,S13
Mumbai North East,28,SANJAY DINA PATIL,MIHIR CHANDRAKANT KOTECHA,29861,Result Declared,S13
Mumbai North West,27,RAVINDRA DATTARAM WAIKAR,AMOL GAJANAN KIRTIKAR,48,Result Declared,S13
Mumbai South,31,ARVIND GANPAT SAWANT,YAMINI YASHWANT JADHAV,52673,Result Declared,S13
Mumbai South Central,30,ANIL YESHWANT DESAI,RAHUL RAMESH SHEWALE,53384,Result Declared,S13
Nagpur,10,NITIN JAIRAM GADKARI,VIKAS THAKRE,137603,Result Declared,S13
Nanded,16,CHAVAN VASANTRAO BALWANTRAO,CHIKHALIKAR PRATAPRAO GOVINDRAO,59442,Result Declared,S13
Nandurbar,1,ADV GOWAAL KAGADA PADAVI,DR HEENA VIJAYKUMAR GAVIT,159120,Result Declared,S13
Nashik,21,RAJABHAU (PARAG) PRAKASH WAJE,GODSE HEMANT TUKARAM,162001,Result Declared,S13
Osmanabad,40,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,ARCHANA RANAJAGJITSINH PATIL,329846,Result Declared,S13
Palghar,22,DR. HEMANT VISHNU SAVARA,BHARTI BHARAT KAMDI,183306,Result Declared,S13
Parbhani,17,JADHAV SANJAY ( BANDU ) HARIBHAU,JANKAR MAHADEV JAGANNATH,134061,Result Declared,S13
Pune,34,MURLIDHAR MOHOL,DHANGEKAR RAVINDRA HEMRAJ,123038,Result Declared,S13
Raigad,32,TATKARE SUNIL DATTATREY,ANANT GEETE,82784,Result Declared,S13
Ramtek,9,Shyamkumar (Babalu) Daulat Barve,RAJU DEONATH PARVE,76768,Result Declared,S13
Ratnagiri- Sindhudurg,46,NARAYAN TATU RANE,VINAYAK BHAURAO RAUT,47858,Result Declared,S13
Raver,4,KHADSE RAKSHA NIKHIL,SHRIRAM DAYARAM PATIL,272183,Result Declared,S13
Hooghly,28,RACHNA BANERJEE,LOCKET CHATTERJEE,76853,Result Declared,S25
Howrah,25,PRASUN BANERJEE,DR RATHIN CHAKRAVARTY,169442,Result Declared,S25
Jadavpur,22,SAYANI GHOSH,DR. ANIRBAN GANGULY,258201,Result Declared,S25
Jalpaiguri,3,DR JAYANTA KUMAR ROY,NIRMAL CHANDRA ROY,86693,Result Declared,S25
Jangipur,9,KHALILUR RAHAMAN,MURTOJA HOSSAIN BOKUL,116637,Result Declared,S25
Jhargram,33,KALIPADA SAREN (KHERWAL),DR. PRANAT TUDU,174048,Result Declared,S25
Joynagar,19,PRATIMA MONDAL,ASHOK KANDARY,470219,Result Declared,S25
Kanthi,31,ADHIKARI SOUMENDU,UTTAM BARIK SON OF LATE BIRENDRA BARIK,47764,Result Declared,S25
Kolkata Dakshin,23,MALA ROY,DEBASREE CHAUDHURI,187231,Result Declared,S25
Kolkata Uttar,24,BANDYOPADHYAY SUDIP,TAPAS ROY,92560,Result Declared,S25
Krishnanagar,12,MAHUA MOITRA,AMRITA ROY,56705,Result Declared,S25
Maldaha Dakshin,8,ISHA KHAN CHOUDHURY,SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI),128368,Result Declared,S25
Maldaha Uttar,7,KHAGEN MURMU,PRASUN BANERJEE,77708,Result Declared,S25
Mathurapur,20,BAPI HALDAR,ASHOK PURKAIT,201057,Result Declared,S25
Medinipur,34,JUNE MALIAH,AGNIMITRA PAUL,27191,Result Declared,S25
Murshidabad,11,ABU TAHER KHAN,MD SALIM,164215,Result Declared,S25
Purulia,35,JYOTIRMAY SINGH MAHATO,SHANTIRAM MAHATO,17079,Result Declared,S25
Raiganj,5,KARTICK CHANDRA PAUL,KALYANI KRISHNA,68197,Result Declared,S25
Ranaghat,13,JAGANNATH SARKAR,MUKUT MANI ADHIKARI,186899,Result Declared,S25
Srerampur,27,KALYAN BANERJEE,KABIR SHANKAR BOSE,174830,Result Declared,S25
Sundargarh,2,JUAL ORAM,DILIP KUMAR TIRKEY,138808,Result Declared,S18
Arunachal East,2,TAPIR GAO,BOSIRAM SIRAM,30421,Result Declared,S02
Arunachal West,1,KIREN RIJIJU,NABAM TUKI,100738,Result Declared,S02
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,TILAK PERADA,327901,Result Declared,S01
Thirupathi(SC),23,GURUMOORTHY MADDILA,VARA PRASAD RAO VELAGAPALLI,14569,Result Declared,S01
Vijayawada,12,KESINENI SIVANATH (CHINNI),KESINENI SRINIVAS  (NANI),282085,Result Declared,S01
Visakhapatnam,4,SRIBHARAT MATHUKUMILI,JHANSI LAKSHMI. BOTCHA.,504247,Result Declared,S01
Vizianagaram,3,APPALANAIDU KALISETTI,BELLANA CHANDRASEKHAR,249351,Result Declared,S01
Ahmednagar,37,NILESH DNYANDEV LANKE,DR. SUJAY RADHAKRISHNA VIKHEPATIL,28929,Result Declared,S13
Akola,6,ANUP SANJAY DHOTRE,ABHAY KASHINATH PATIL,40626,Result Declared,S13
Amravati,7,BALWANT BASWANT WANKHADE,NAVNEET RAVI RANA,19731,Result Declared,S13
Aurangabad,19,BHUMARE SANDIPANRAO ASARAM,IMTIAZ JALEEL SYED,134650,Result Declared,S13
Baramati,35,SUPRIYA SULE,SUNETRA AJITDADA PAWAR,158333,Result Declared,S13
Beed,39,BAJRANG MANOHAR SONWANE,PANKAJA GOPINATHRAO MUNDE,6553,Result Declared,S13
Bhandara Gondiya,11,DR. PRASHANT YADAORAO PADOLE,SUNIL BABURAO MENDHE,37380,Result Declared,S13
Bhiwandi,23,BALYA MAMA - SURESH GOPINATH MHATRE,KAPIL MORESHWAR PATIL,66121,Result Declared,S13
Buldhana,5,JADHAV PRATAPRAO GANPATRAO,NARENDRA DAGDU KHEDEKAR,29479,Result Declared,S13
Chandrapur,13,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,MUNGANTIWAR SUDHIR SACCHIDANAND,260406,Result Declared,S13
Dhule,2,BACHHAV SHOBHA DINESH,BHAMRE SUBHASH RAMRAO,3831,Result Declared,S13
Dindori,20,BHASKAR MURLIDHAR BHAGARE,DR. BHARATI PRAVIN PAWAR,113199,Result Declared,S13
Gadchiroli - Chimur,12,DR. KIRSAN NAMDEO,ASHOK  MAHADEORAO NETE,141696,Result Declared,S13
Hatkanangale,48,DHAIRYASHEEL SAMBHAJIRAO MANE,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,13426,Result Declared,S13
Hingoli,15,AASHTIKAR PATIL NAGESH BAPURAO,BABURAO KADAM KOHALIKAR,108602,Result Declared,S13
Jalgaon,3,SMITA UDAY WAGH,KARAN BALASAHEB PATIL - PAWAR,251594,Result Declared,S13
Jalna,18,KALYAN VAIJINATHRAO KALE,DANVE RAOSAHEB DADARAO,109958,Result Declared,S13
Kalyan,24,DR SHRIKANT EKNATH SHINDE,VAISHALI DAREKAR - RANE,209144,Result Declared,S13
Kolhapur,47,CHHATRAPATI SHAHU SHAHAJI,SANJAY SADASHIVRAO MANDLIK,154964,Result Declared,S13
Latur,41,DR. KALGE SHIVAJI BANDAPPA,SUDHAKAR TUKARAM SHRANGARE,61881,Result Declared,S13
Bulandshahr,14,DR BHOLA SINGH,SHIVRAM,275134,Result Declared,S24
Chandauli,76,BIRENDRA SINGH,DR. MAHENDRA NATH  PANDEY,21565,Result Declared,S24
Deoria,66,SHASHANK MANI,AKHILESH PRATAP SINGH,34842,Result Declared,S24
Dhaurahra,29,ANAND BHADAURIYA,REKHA VERMA,4449,Result Declared,S24
Domariyaganj,60,JAGDAMBIKA PAL,BHISHMA SHANKAR ALIAS KUSHAL TIWARI,42728,Result Declared,S24
Etah,22,DEVESH SHAKYA,RAJVEER SINGH (RAJU BHAIYA),28052,Result Declared,S24
Etawah,41,JITENDRA KUMAR DOHARE,DR RAM SHANKAR KATHERIA,58419,Result Declared,S24
Faizabad,54,AWADHESH PRASAD,LALLU SINGH,54567,Result Declared,S24
Farrukhabad,40,MUKESH RAJPUT,DR. NAVAL KISHOR SHAKYA,2678,Result Declared,S24
Fatehpur,49,NARESH CHANDRA UTTAM PATEL,NIRANJAN JYOTI,33199,Result Declared,S24
Fatehpur Sikri,19,RAJKUMAR CHAHAR,RAMNATH SINGH SIKARWAR,43405,Result Declared,S24
Firozabad,20,AKSHAYA YADAV,VISHWADEEP SINGH,89312,Result Declared,S24
Gautam Buddha Nagar,13,DR. MAHESH SHARMA,DR. MAHENDRA SINGH NAGAR,559472,Result Declared,S24
Ghaziabad,12,ATUL GARG,DOLLY SHARMA,336965,Result Declared,S24
Ghazipur,75,AFZAL ANSARI,PARS NATH RAI,124861,Result Declared,S24
Ghosi,70,RAJEEV RAI,DR. ARVIND RAJBHAR,162943,Result Declared,S24
Gonda,59,KIRTIVARDHAN SINGH,SHREYA VERMA,46224,Result Declared,S24
Gorakhpur,64,RAVINDRA SHUKLA ALIAS RAVI KISHAN,KAJAL NISHAD,103526,Result Declared,S24
Hamirpur,47,AJENDRA SINGH LODHI,KUNWAR PUSHPENDRA SINGH CHANDEL,2629,Result Declared,S24
Hardoi,31,JAI PRAKASH,USHA VERMA,27856,Result Declared,S24
AMBALA,1,VARUN CHAUDHRY,BANTO KATARIA,49036,Result Declared,S07
BHIWANI-MAHENDRAGARH,8,DHARAMBIR SINGH,RAO DAN SINGH,41510,Result Declared,S07
FARIDABAD,10,KRISHAN PAL,MAHENDER PRATAP SINGH,172914,Result Declared,S07
GURGAON,9,RAO INDERJIT SINGH,RAJ BABBAR,75079,Result Declared,S07
HISAR,4,JAI PARKASH (J P) S/O HARIKESH,RANJIT SINGH,63381,Result Declared,S07
KARNAL,5,MANOHAR LAL,DIVYANSHU BUDHIRAJA,232577,Result Declared,S07
KURUKSHETRA,2,NAVEEN JINDAL,DR SUSHIL GUPTA,29021,Result Declared,S07
ROHTAK,7,DEEPENDER SINGH HOODA,DR. ARVIND KUMAR SHARMA,345298,Result Declared,S07
SIRSA,3,SELJA,ASHOK TANWAR,268497,Result Declared,S07
SONIPAT,6,SATPAL BRAHAMCHARI,MOHAN LAL BADOLI,21816,Result Declared,S07
Aska,19,ANITA SUBHADARSHINI,RANJITA SAHU,99974,Result Declared,S18
Balasore,6,PRATAP CHANDRA SARANGI,LEKHASRI SAMANTSINGHAR,147156,Result Declared,S18
Bargarh,1,PRADEEP PUROHIT,PARINITA MISHRA,251667,Result Declared,S18
Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,BHRUGU BAXIPATRA,165476,Result Declared,S18
Bhadrak,7,AVIMANYU SETHI,MANJULATA MANDAL,91544,Result Declared,S18
Bhubaneswar,18,APARAJITA SARANGI,MANMATH KUMAR ROUTRAY,35152,Result Declared,S18
Bolangir,10,SANGEETA KUMARI SINGH DEO,SURENDRA SINGH BHOI,132664,Result Declared,S18
Cuttack,14,BHARTRUHARI MAHTAB,SANTRUPT MISRA,57077,Result Declared,S18
Dhenkanal,9,RUDRA NARAYAN PANY,ABINASH SAMAL,76567,Result Declared,S18
Jagatsinghpur,16,BIBHU PRASAD TARAI,DR. RAJASHREE MALLICK,40696,Result Declared,S18
Jajpur,8,RABINDRA NARAYAN BEHERA,SARMISTHA SETHI,1587,Result Declared,S18
Kalahandi,11,MALVIKA DEVI,LAMBODAR NIAL,133813,Result Declared,S18
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,ACHYUTANANDA SAMANTA,21371,Result Declared,S18
Kendrapara,15,BAIJAYANT PANDA,ANSHUMAN MOHANTY,66536,Result Declared,S18
Keonjhar,4,ANANTA NAYAK,DHANURJAYA SIDU,97042,Result Declared,S18
Koraput,21,SAPTAGIRI SANKAR ULAKA,KAUSALYA HIKAKA,147744,Result Declared,S18
Mayurbhanj,5,NABA CHARAN MAJHI,SUDAM MARNDI,219334,Result Declared,S18
Nabarangpur,12,BALABHADRA MAJHI,PRADEEP KUMAR MAJHI,87536,Result Declared,S18
Puri,17,SAMBIT PATRA,ARUP MOHAN PATNAIK,104709,Result Declared,S18
Sambalpur,3,DHARMENDRA PRADHAN,PRANAB PRAKASH DAS,119836,Result Declared,S18
Nagaland,1,S SUPONGMEREN JAMIR,DR CHUMBEN MURRY,50984,Result Declared,S17
Sikkim,1,INDRA HANG SUBBA,BHARAT BASNETT,80830,Result Declared,S21
RATLAM,24,ANITA NAGARSINGH CHOUHAN,KANTILAL BHURIA,207232,Result Declared,S12
REWA,10,JANARDAN MISHRA,NEELAM ABHAY MISHRA,193374,Result Declared,S12
SAGAR,5,DR. LATA WANKHEDE,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',471222,Result Declared,S12
SATNA,9,GANESH SINGH,DABBU SIDDHARTH SUKHLAL KUSHWAHA,84949,Result Declared,S12
SHAHDOL,12,SMT. HIMADRI SINGH,PHUNDE LAL SINGH MARKO,397340,Result Declared,S12
SIDHI,11,DR. RAJESH MISHRA,KAMLESHWAR INDRAJIT KUMAR,206416,Result Declared,S12
TIKAMGARH,6,DR. VIRENDRA KUMAR,KHUMAN URF PANKAJ AHIRWAR,403312,Result Declared,S12
UJJAIN,22,ANIL FIROJIYA,MAHESH PARMAR,375860,Result Declared,S12
VIDISHA,18,SHIVRAJ SINGH CHOUHAN,PRATAPBHANU SHARMA,821408,Result Declared,S12
Mohanlalganj,34,R.K. CHAUDHARY,KAUSHAL KISHORE,70292,Result Declared,S24
Moradabad,6,RUCHI VIRA,KUNWAR SARVESH KUMAR,105762,Result Declared,S24
Muzaffarnagar,3,HARENDRA SINGH MALIK,SANJEEV KUMAR BALYAN,24672,Result Declared,S24
Nagina,5,CHANDRASHEKHAR,OM KUMAR,151473,Result Declared,S24
Phulpur,51,PRAVEEN PATEL,AMAR NATH SINGH MAURYA,4332,Result Declared,S24
Pilibhit,26,JITIN PRASADA,BHAGWAT SARAN GANGWAR,164935,Result Declared,S24
Pratapgarh,39,SHIV PAL SINGH PATEL (DR. S P SINGH),SANGAM LAL GUPTA,66206,Result Declared,S24
Rae Bareli,36,RAHUL GANDHI,DINESH PRATAP SINGH,390030,Result Declared,S24
Rampur,7,MOHIBBULLAH,GHANSHYAM SINGH LODHI,87434,Result Declared,S24
Robertsganj,80,CHHOTELAL,RINKI SINGH,129234,Result Declared,S24
Saharanpur,1,IMRAN MASOOD,RAGHAV LAKHANPAL,64542,Result Declared,S24
Salempur,71,RAMASHANKAR RAJBHAR,RAVINDAR KUSHAWAHA,3573,Result Declared,S24
Sambhal,8,ZIA UR REHMAN,PARMESHWAR LAL SAINI,121494,Result Declared,S24
Sant Kabir Nagar,62,LAXMIKANT PAPPU NISHAD,PRAVIN KUMAR NISHAD,92170,Result Declared,S24
Shahjahanpur,27,ARUN KUMAR SAGAR,JYOTSNA GOND,55379,Result Declared,S24
Shrawasti,58,RAM SHIROMANI VERMA,SAKET MISRA,76673,Result Declared,S24
Sitapur,30,RAKESH RATHOR,RAJESH VERMA,89641,Result Declared,S24
Sultanpur,38,RAMBHUAL NISHAD,MANEKA SANJAY GANDHI,43174,Result Declared,S24
Unnao,33,SWAMI SACHCHIDANAND HARI SAKSHI,ANNU TANDON,35818,Result Declared,S24
Varanasi,77,NARENDRA MODI,AJAY RAI,152513,Result Declared,S24
Shillong,1,DR. RICKY ANDREW J. SYNGKON,VINCENT H. PALA,371910,Result Declared,S15
Tura,2,SALENG A SANGMA,AGATHA K SANGMA,155241,Result Declared,S15
NILGIRIS,19,RAJA A,DR MURUGAN L,240585,Result Declared,S22
PERAMBALUR,25,ARUN NEHRU,CHANDRAMOHAN N D,389107,Result Declared,S22
POLLACHI,21,ESWARASAMY K,KARTHIKEYAN A,252042,Result Declared,S22
RAMANATHAPURAM,35,NAVASKANI K,PANNEERSELVAM O S/O OTTAKARATHEVAR,166782,Result Declared,S22
SALEM,15,SELVAGANAPATHI T M,VIGNESH P,70357,Result Declared,S22
SIVAGANGA,31,KARTI P CHIDAMBARAM,XAVIERDASS A,205664,Result Declared,S22
SRIPERUMBUDUR,5,T R BAALU,G PREMKUMAR,487029,Result Declared,S22
TENKASI,37,DR RANI SRI KUMAR,DR K KRISHNASAMY,196199,Result Declared,S22
THANJAVUR,30,MURASOLI S,SIVANESAN P,319583,Result Declared,S22
THENI,33,THANGA TAMILSELVAN,TTV DHINAKARAN,278825,Result Declared,S22
THOOTHUKKUDI,36,KANIMOZHI KARUNANIDHI,SIVASAMY VELUMANI R,392738,Result Declared,S22
TIRUCHIRAPPALLI,24,DURAI VAIKO,KARUPPAIAH. P,313094,Result Declared,S22
