Constituency,Const. No.,Leading Candidate,Trailing Candidate,Margin,Status,State ID
Solapur,42,PRANITI SUSHILKUMAR SHINDE,RAM VITTHAL SATPUTE,74197,Result Declared,S13
Thane,25,NARESH GANPAT MHASKE,RAJAN BABURAO VICHARE,217011,Result Declared,S13
Wardha,8,AMAR SHARADRAO KALE,RAMDAS CHANDRABHAN TADAS,81648,Result Declared,S13
Yavatmal- Washim,14,SANJAY UTTAMRAO DESHMUKH,RAJSHRITAI HEMANT PATIL (MAHALLE),94473,Result Declared,S13
Chandni Chowk,1,PRAVEEN KHANDELWAL,JAI PRAKASH AGARWAL,89325,Result Declared,U05
East Delhi,3,HARSH MALHOTRA,KULDEEP KUMAR (MONU),93663,Result Declared,U05
New Delhi,4,BANSURI SWARAJ,SOMNATH BHARTI,78370,Result Declared,U05
North-East Delhi,2,MANOJ TIWARI,KANHAIYA KUMAR,138778,Result Declared,U05
North-West Delhi,5,YOGENDER CHANDOLIYA,UDIT RAJ,290849,Result Declared,U05
South Delhi,7,RAMVIR SINGH BIDHURI,SAHI RAM,124333,Result Declared,U05
West Delhi,6,KAMALJEET SEHRAWAT,MAHABAL MISHRA,199013,Result Declared,U05
